row_id	order_id	my_formatted_orderdate	ordermonth	orderyear	my_formatted_shipdate	shippedmonth	shippedyear	ship_mode	customer_id	customer_name	segment	country	city	state	postal_code	region	product_id	category	sub_category	product_name	sales	profit
4494	CA-2015-150798	2015-12-01	12	2015	2015-12-03	12	2015	Second Class	JK-15730	Joe Kamberova	Consumer	United States	Columbus	Ohio	43229	East	OFF-PA-10001972	Office Supplies	Paper	Xerox 214	36.288	7.25760
281	US-2016-161991	2016-09-26	9	2016	2016-09-28	9	2016	Second Class	SC-20725	Steven Cartwright	Consumer	United States	Houston	Texas	77070	Central	OFF-BI-10004967	Office Supplies	Binders	Round Ring Binders	2.08	0.4160
8018	US-2015-131870	2015-09-09	9	2015	2015-09-11	9	2015	First Class	NF-18595	Nicole Fjeld	Home Office	United States	Lancaster	Ohio	43130	East	OFF-AR-10000634	Office Supplies	Art	Newell 320	30.816	6.16320
932	CA-2018-144932	2018-04-14	4	2018	2018-04-17	4	2018	First Class	AB-10165	Alan Barnes	Consumer	United States	Toledo	Ohio	43615	East	OFF-PA-10004971	Office Supplies	Paper	Xerox 196	13.872	2.77440
3447	CA-2017-158869	2017-08-06	8	2017	2017-08-07	8	2017	First Class	AH-10690	Anna Häberlin	Corporate	United States	New York City	New York	10024	East	OFF-PA-10000474	Office Supplies	Paper	Easy-staple paper	70.88	14.1760
8061	CA-2016-156013	2016-09-20	9	2016	2016-09-26	9	2016	Standard Class	TC-20980	Tamara Chand	Corporate	United States	Long Beach	New York	11561	East	OFF-PA-10001970	Office Supplies	Paper	Xerox 1881	61.4	12.280
2312	US-2018-120418	2018-06-11	6	2018	2018-06-12	6	2018	First Class	BC-11125	Becky Castell	Home Office	United States	Peoria	Arizona	85345	West	OFF-AR-10001955	Office Supplies	Art	Newell 319	15.872	3.17440
8952	CA-2018-150910	2018-12-22	12	2018	2018-12-28	12	2018	Standard Class	JL-15130	Jack Lebron	Consumer	United States	Jackson	Tennessee	38301	South	OFF-ST-10000918	Office Supplies	Storage	Crate-A-Files	26.16	5.2320
8953	CA-2018-150910	2018-12-22	12	2018	2018-12-28	12	2018	Standard Class	JL-15130	Jack Lebron	Consumer	United States	Jackson	Tennessee	38301	South	OFF-AR-10001419	Office Supplies	Art	Newell 325	23.128	4.62560
8701	CA-2018-119284	2018-06-15	6	2018	2018-06-20	6	2018	Standard Class	TS-21205	Thomas Seio	Corporate	United States	Nashville	Tennessee	37211	South	OFF-AP-10004249	Office Supplies	Appliances	Staple holder	76.608	15.32160
9312	CA-2018-148642	2018-03-06	3	2018	2018-03-12	3	2018	Standard Class	DW-13540	Don Weiss	Consumer	United States	Dallas	Texas	75220	Central	OFF-LA-10000134	Office Supplies	Labels	Avery 511	4.928	0.98560
2577	CA-2015-129091	2015-11-22	11	2015	2015-11-27	11	2015	Standard Class	RA-19885	Ruben Ausman	Corporate	United States	Columbus	Georgia	31907	South	OFF-EN-10001990	Office Supplies	Envelopes	Staple envelope	11.36	2.2720
3506	CA-2015-166863	2015-06-20	6	2015	2015-06-24	6	2015	Standard Class	SC-20020	Sam Craven	Consumer	United States	Plano	Texas	75023	Central	TEC-PH-10000369	Technology	Phones	HTC One Mini	201.584	50.39600
605	CA-2015-149958	2015-03-15	3	2015	2015-03-19	3	2015	Standard Class	AS-10240	Alan Shonely	Consumer	United States	Tampa	Florida	33614	South	OFF-BI-10000773	Office Supplies	Binders	Insertable Tab Post Binder Dividers	7.218	1.44360
71	CA-2017-106075	2017-09-18	9	2017	2017-09-23	9	2017	Standard Class	HM-14980	Henry MacAllister	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004654	Office Supplies	Binders	Avery Binding System Hidden Tab Executive Style Index Sets	4.616	0.92320
